                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 2.1098,                 1.6804,                 1.5708,                0.82319,                    0.5,                0.56743,                0.25313,                 2.1475,                 1.6185,                 1.5683,              0.0013136,              0.0013136,              0.0013136
                     55,                 2.2081,                 1.6366,                 1.5422,                0.77323,                    0.5,                0.58083,                0.24024,                  2.142,                 1.5929,                 1.5292,              0.0013004,              0.0013004,              0.0013004
                     56,                 2.2395,                 1.7034,                 1.5791,                0.28543,                0.20968,                0.22157,                0.06189,                 2.6679,                   2.44,                 1.7911,              0.0012872,              0.0012872,              0.0012872
                     57,                 2.0965,                 1.6869,                 1.5373,                0.32664,                0.17742,                0.17272,                0.05754,                 2.7375,                  2.214,                 1.8483,               0.001274,               0.001274,               0.001274
                     58,                 2.1246,                 1.7483,                 1.5755,                0.78106,                0.51789,                0.56823,                0.20954,                 2.2988,                 1.6471,                 1.6166,              0.0012608,              0.0012608,              0.0012608
                     59,                 2.1812,                 1.7038,                 1.5741,                0.79552,                0.50205,                0.58658,                0.25679,                  2.313,                 1.8274,                   1.57,              0.0012476,              0.0012476,              0.0012476
                     60,                  2.172,                 1.7624,                  1.628,                0.73305,                0.44302,                0.52813,                0.21404,                 2.3709,                 1.7711,                 1.5943,              0.0012344,              0.0012344,              0.0012344
                     61,                 2.3067,                 1.8948,                 1.5954,                0.72379,                0.54947,                0.61336,                0.27857,                 2.0464,                 1.5399,                 1.4887,              0.0012212,              0.0012212,              0.0012212
                     62,                 2.1314,                 1.7414,                 1.5739,                 0.7871,                0.48387,                0.61412,                0.28328,                 2.0124,                 1.5843,                 1.4861,               0.001208,               0.001208,               0.001208
                     63,                 2.0991,                 1.6844,                 1.5977,                0.22651,                0.20968,                0.17891,                0.06192,                 2.4964,                 2.2427,                 1.7352,              0.0011948,              0.0011948,              0.0011948
                     64,                 2.1834,                 1.7246,                 1.5841,                0.70982,                0.46774,                0.54814,                0.22369,                  2.267,                  1.672,                 1.5934,              0.0011816,              0.0011816,              0.0011816
                     65,                 2.0694,                 1.6897,                 1.5165,                0.64612,                0.45161,                 0.4966,                0.16284,                 2.3472,                  2.058,                 1.6512,              0.0011684,              0.0011684,              0.0011684
                     66,                 2.1101,                 1.5572,                 1.5632,                0.22817,                0.12903,                0.06048,                0.01501,                 3.0229,                 2.9559,                 2.0372,              0.0011552,              0.0011552,              0.0011552
                     67,                 2.2101,                 1.7289,                 1.5874,                0.77502,                0.53226,                0.62809,                0.24871,                 2.3232,                 1.3558,                 1.5176,               0.001142,               0.001142,               0.001142
                     68,                 2.0979,                 1.7426,                 1.5251,                0.65776,                    0.5,                0.53429,                 0.1922,                 2.2818,                 1.6161,                 1.5268,              0.0011288,              0.0011288,              0.0011288
                     69,                   2.06,                 1.5509,                 1.5319,                   0.34,                0.25806,                 0.1781,                0.05497,                  2.854,                 2.6761,                 1.8835,              0.0011156,              0.0011156,              0.0011156
                     70,                 2.0715,                 1.6669,                 1.4801,                0.77926,                0.53226,                0.62743,                0.27295,                  2.032,                 1.3041,                 1.4702,              0.0011024,              0.0011024,              0.0011024
                     71,                  2.175,                 1.7569,                 1.5625,                0.74314,                0.51613,                0.59348,                0.21717,                 2.1114,                 1.4806,                  1.481,              0.0010892,              0.0010892,              0.0010892
                     72,                 2.1505,                  1.704,                 1.5173,                0.74599,                0.47379,                0.56234,                0.22029,                 2.2129,                 1.5722,                 1.5528,               0.001076,               0.001076,               0.001076
                     73,                 2.1423,                 1.7844,                 1.5912,                0.78483,                0.48387,                0.58104,                0.26234,                  2.189,                 1.6102,                  1.558,              0.0010628,              0.0010628,              0.0010628
                     74,                 1.9695,                  1.699,                 1.4716,                 0.2043,                0.20968,                0.13569,                0.04558,                 2.7452,                 2.6425,                 1.7945,              0.0010496,              0.0010496,              0.0010496
                     75,                 2.0364,                 1.6164,                 1.4973,                0.52709,                0.27419,                0.30841,                0.10554,                 2.4763,                  2.238,                 1.6911,              0.0010364,              0.0010364,              0.0010364
                     76,                 2.0093,                 1.6433,                 1.5278,                0.12965,                 0.1129,                 0.0621,                0.01235,                 3.0517,                 3.9994,                 2.0194,              0.0010232,              0.0010232,              0.0010232
                     77,                  1.971,                 1.5288,                 1.4808,                0.16404,                0.12903,                0.08366,                0.01847,                 2.9833,                 3.1675,                 1.9696,                0.00101,                0.00101,                0.00101
                     78,                 1.9634,                 1.4878,                 1.4245,                0.27786,                0.12903,                0.13234,                0.04394,                  2.726,                 3.1892,                 1.7986,              0.0009968,              0.0009968,              0.0009968
                     79,                 2.0911,                 1.5986,                 1.4851,                0.20134,                0.25806,                0.16714,                0.07235,                 2.5078,                 3.2643,                 1.7204,              0.0009836,              0.0009836,              0.0009836
                     80,                 2.1472,                  1.636,                  1.537,                 0.6917,                0.43548,                0.49117,                0.23021,                 2.1564,                 1.9303,                 1.6019,              0.0009704,              0.0009704,              0.0009704
                     81,                 1.9684,                 1.6429,                 1.5252,                0.46468,                0.20968,                 0.2305,                0.08463,                 2.4987,                 2.1621,                 1.7437,              0.0009572,              0.0009572,              0.0009572
                     82,                 2.0424,                 1.5733,                 1.4828,                0.75158,                0.56452,                0.61158,                0.24255,                 2.1574,                 1.5946,                 1.5631,               0.000944,               0.000944,               0.000944
                     83,                 2.0572,                 1.6337,                 1.5125,                0.53419,                0.46774,                0.47937,                0.18043,                 2.3655,                 1.6059,                 1.5765,              0.0009308,              0.0009308,              0.0009308
                     84,                 2.0236,                 1.5346,                 1.5212,                0.69186,                0.57945,                0.59659,                 0.2185,                 2.2667,                 1.4583,                 1.5584,              0.0009176,              0.0009176,              0.0009176
                     85,                 2.0448,                 1.5997,                 1.5071,                0.62855,                0.62903,                0.63207,                0.27788,                 2.0793,                 1.4161,                 1.5069,              0.0009044,              0.0009044,              0.0009044
                     86,                 2.0858,                 1.5709,                 1.5159,                0.47972,                 0.3871,                0.35678,                0.13415,                 2.3837,                 1.8781,                 1.6038,              0.0008912,              0.0008912,              0.0008912
                     87,                 2.1463,                 1.6584,                 1.5237,                0.74436,                0.54839,                0.64754,                0.25264,                 2.1965,                 1.4966,                 1.5212,               0.000878,               0.000878,               0.000878
                     88,                 2.0302,                 1.6382,                 1.4778,                0.67305,                0.48387,                0.53536,                0.18786,                 2.3221,                 1.6855,                  1.591,              0.0008648,              0.0008648,              0.0008648
                     89,                 2.0716,                 1.6173,                  1.512,                0.56904,                0.54839,                 0.5328,                0.21069,                 2.2723,                 1.5917,                 1.5979,              0.0008516,              0.0008516,              0.0008516
                     90,                 2.0055,                 1.4393,                 1.4407,                0.83424,                0.58065,                0.66994,                0.31335,                 2.0349,                 1.4788,                 1.5072,              0.0008384,              0.0008384,              0.0008384
                     91,                 1.9902,                 1.5437,                 1.4841,                 0.7906,                0.54839,                0.68178,                0.31122,                 2.1261,                 1.3868,                 1.4905,              0.0008252,              0.0008252,              0.0008252
                     92,                 2.0321,                 1.6031,                 1.5037,                0.71624,                0.57003,                0.64901,                0.26221,                  2.353,                 1.4816,                 1.5215,               0.000812,               0.000812,               0.000812
                     93,                 1.9732,                 1.5395,                  1.493,                0.70827,                0.50914,                0.63141,                0.24897,                 2.3918,                 1.5674,                 1.5691,              0.0007988,              0.0007988,              0.0007988
                     94,                 1.8814,                 1.4451,                 1.4258,                0.77183,                0.49115,                0.61339,                0.25126,                 2.1073,                 1.5276,                   1.53,              0.0007856,              0.0007856,              0.0007856
                     95,                 2.0538,                 1.5123,                 1.4767,                0.79822,                0.57433,                0.64412,                0.27466,                 2.0884,                 1.4593,                 1.5298,              0.0007724,              0.0007724,              0.0007724
                     96,                 1.9889,                  1.594,                 1.4575,                0.86304,                0.56452,                0.70306,                0.27809,                 2.0682,                 1.4639,                 1.4853,              0.0007592,              0.0007592,              0.0007592
                     97,                 1.9521,                 1.5859,                 1.4356,                 0.5968,                0.57303,                0.61282,                0.21512,                 2.2355,                 1.6713,                 1.5737,               0.000746,               0.000746,               0.000746
                     98,                 2.0967,                 1.6862,                 1.4711,                0.67524,                0.43548,                0.52187,                0.18321,                 2.3288,                 1.6798,                  1.584,              0.0007328,              0.0007328,              0.0007328
                     99,                 1.9171,                 1.5522,                 1.4174,                 0.2485,                0.54839,                0.17191,                 0.0656,                 2.1959,                 5.6653,                 1.5497,              0.0007196,              0.0007196,              0.0007196
                    100,                 1.8756,                 1.4468,                 1.3925,                0.71732,                0.54839,                0.54392,                0.22525,                 2.0128,                 1.4995,                 1.5126,              0.0007064,              0.0007064,              0.0007064
                    101,                 2.0912,                 1.6691,                 1.4961,                0.71525,                0.54839,                0.50808,                0.20928,                 1.9832,                 1.3596,                 1.4322,              0.0006932,              0.0006932,              0.0006932
                    102,                  1.981,                 1.5752,                 1.4667,                0.36579,                0.27419,                0.22966,                0.07027,                 2.4234,                 2.3893,                   1.65,                0.00068,                0.00068,                0.00068
                    103,                  1.969,                 1.5825,                  1.488,                0.77126,                0.46774,                0.54149,                0.18805,                 2.2059,                 1.6552,                 1.5826,              0.0006668,              0.0006668,              0.0006668
                    104,                 1.9387,                 1.7041,                 1.4311,                0.65208,                0.53226,                0.62572,                 0.2591,                 2.0858,                 1.5657,                 1.4741,              0.0006536,              0.0006536,              0.0006536
                    105,                 1.8694,                 1.5424,                 1.3971,                0.76224,                0.53226,                0.62619,                0.27188,                 2.0373,                 1.6045,                 1.4857,              0.0006404,              0.0006404,              0.0006404
                    106,                 1.9345,                 1.5784,                 1.4767,                 0.6092,                0.37097,                0.40376,                0.17249,                 2.1313,                 1.9084,                 1.5607,              0.0006272,              0.0006272,              0.0006272
                    107,                 2.0014,                 1.6113,                 1.4569,                0.23585,                0.30645,                0.21504,                0.07755,                 2.5062,                 2.1976,                 1.7254,               0.000614,               0.000614,               0.000614
                    108,                 1.9283,                 1.5076,                 1.4304,                 0.7504,                0.48493,                 0.5872,                0.20884,                  2.212,                 1.5137,                 1.5974,              0.0006008,              0.0006008,              0.0006008
                    109,                 2.0046,                 1.6212,                 1.4851,                0.76779,                0.46774,                0.58842,                 0.2369,                 2.1534,                 1.5312,                 1.5202,              0.0005876,              0.0005876,              0.0005876
                    110,                 1.8261,                 1.5263,                 1.4111,                0.76252,                0.53226,                0.65747,                0.28243,                 2.0537,                 1.4367,                 1.4865,              0.0005744,              0.0005744,              0.0005744
                    111,                 1.8323,                 1.4721,                 1.4226,                0.51721,                0.34567,                0.44082,                0.14692,                 2.3742,                 1.8593,                 1.6109,              0.0005612,              0.0005612,              0.0005612
                    112,                 1.9097,                 1.4782,                 1.4152,                0.33671,                0.27419,                0.23113,                0.06862,                 2.5304,                  2.216,                 1.6936,               0.000548,               0.000548,               0.000548
                    113,                 1.9871,                 1.4819,                 1.4576,                0.78475,                0.53226,                 0.6562,                0.23808,                 2.1916,                 1.4864,                 1.5009,              0.0005348,              0.0005348,              0.0005348
                    114,                 1.8443,                 1.4287,                 1.4212,                0.73232,                0.61784,                0.71724,                0.31389,                 1.9278,                 1.3381,                 1.4216,              0.0005216,              0.0005216,              0.0005216
                    115,                 1.8109,                   1.42,                 1.3803,                 0.7182,                 0.6129,                0.68203,                0.31501,                 1.8592,                 1.3274,                 1.4079,              0.0005084,              0.0005084,              0.0005084
                    116,                 1.8574,                 1.5182,                 1.4395,                0.58726,                0.51613,                0.47703,                0.16454,                 2.1968,                 1.5495,                 1.5163,              0.0004952,              0.0004952,              0.0004952
                    117,                 1.8217,                  1.447,                 1.4323,                 0.4612,                0.40042,                0.42832,                0.14623,                 2.2699,                 1.6718,                 1.5584,               0.000482,               0.000482,               0.000482
                    118,                 1.8611,                 1.5345,                 1.4549,                0.49063,                 0.3871,                0.35708,                0.10497,                 2.3809,                 1.9267,                 1.6149,              0.0004688,              0.0004688,              0.0004688
                    119,                 1.8138,                 1.4592,                 1.3977,                 0.4883,                0.35484,                0.35109,                 0.1052,                 2.3518,                 1.9311,                 1.6083,              0.0004556,              0.0004556,              0.0004556
                    120,                 1.8379,                 1.4742,                 1.3881,                0.77424,                0.60853,                0.69132,                 0.2378,                 2.1134,                  1.376,                 1.4684,              0.0004424,              0.0004424,              0.0004424
                    121,                 1.9766,                 1.6192,                 1.4805,                0.73483,                0.62578,                 0.6547,                0.25042,                 2.0465,                 1.3068,                 1.4293,              0.0004292,              0.0004292,              0.0004292
                    122,                 1.8383,                 1.3824,                 1.4092,                0.79104,                0.62903,                0.73529,                0.30078,                 1.8561,                 1.2626,                 1.4013,               0.000416,               0.000416,               0.000416
                    123,                  1.841,                 1.4716,                 1.4356,                0.77086,                0.66129,                0.73769,                0.31956,                 1.9358,                 1.3091,                 1.4223,              0.0004028,              0.0004028,              0.0004028
                    124,                 1.8737,                 1.4141,                 1.4621,                0.79391,                 0.6129,                0.68028,                0.30057,                 1.9532,                 1.3646,                 1.4233,              0.0003896,              0.0003896,              0.0003896
                    125,                 1.8194,                 1.4397,                 1.3697,                0.74781,                 0.6129,                0.67829,                0.29975,                 1.9354,                 1.3644,                 1.4365,              0.0003764,              0.0003764,              0.0003764
                    126,                 1.8056,                   1.44,                  1.402,                 0.6721,                 0.6129,                0.61292,                0.25249,                 2.0287,                 1.4611,                 1.4643,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.7883,                 1.4657,                 1.3916,                0.78178,                0.67742,                 0.7133,                0.29407,                 1.8647,                 1.3284,                 1.4129,                0.00035,                0.00035,                0.00035
                    128,                 1.8403,                 1.4572,                 1.3867,                0.72295,                0.64516,                0.71157,                0.29813,                 1.9011,                 1.3019,                 1.4281,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.8122,                 1.4264,                 1.3633,                0.75287,                0.63886,                0.72076,                0.30484,                 1.8728,                 1.3396,                 1.4295,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.7492,                 1.3871,                 1.3816,                0.70777,                0.66413,                0.70324,                0.30113,                 1.7808,                 1.3305,                 1.4025,              0.0003104,              0.0003104,              0.0003104
