                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                  2.322,                 1.9142,                 2.0337,                0.48002,                0.46774,                0.42082,                0.15821,                 2.3428,                 2.0315,                  2.111,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.4956,                 2.0168,                 2.1582,                0.12962,                0.09136,                 0.0453,                0.01194,                 2.8423,                 3.3717,                 2.4116,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.4564,                 2.0067,                 2.1201,                0.04285,                0.08065,                0.01114,                0.00411,                 3.0879,                 3.9371,                 2.5294,               0.000911,               0.000911,               0.000911
                     58,                 2.4271,                 2.0357,                 2.1315,                0.20799,                0.27419,                0.15373,                0.05199,                 2.7025,                 2.6438,                 2.3138,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.3632,                 2.0371,                   2.09,                0.58091,                0.51424,                 0.4719,                0.18694,                 2.2762,                 1.8891,                 2.0557,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.4114,                 2.0236,                 2.1467,                0.36838,                0.43548,                0.29127,                0.09303,                 2.4487,                 2.1943,                 2.1778,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.5338,                 2.1539,                 2.1364,                0.39403,                 0.3986,                 0.2857,                0.09091,                 2.6266,                 2.4333,                 2.2163,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.5255,                 2.1076,                 2.1732,                0.32246,                0.33871,                0.22611,                0.06446,                 2.6242,                 2.4835,                 2.2386,               0.000812,               0.000812,               0.000812
                     63,                 2.3487,                  1.962,                 2.0671,                0.26313,                0.45161,                0.26992,                0.08011,                 2.6076,                 2.1685,                 2.2701,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.4461,                 2.0924,                 2.1238,                0.69506,                0.44125,                0.54194,                0.18502,                 2.3069,                 1.9795,                 2.0812,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.3022,                 1.9964,                 2.0272,                0.62847,                0.46388,                0.51856,                0.20019,                 2.2865,                 2.0661,                 2.0787,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.3107,                 1.9149,                 2.0785,                 0.2316,                0.25806,                0.14822,                0.03804,                 2.7239,                 2.9805,                 2.2768,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.4018,                 2.0282,                 2.0947,                0.26169,                0.34306,                0.25229,                0.08118,                  2.539,                 2.5555,                 2.2106,               0.000713,               0.000713,               0.000713
                     68,                 2.3439,                 2.0221,                 2.0318,                 0.5317,                0.32258,                0.40273,                0.14412,                 2.3165,                 2.2382,                 2.0749,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.2104,                 1.9149,                 2.0041,                0.63335,                0.51613,                0.54808,                0.23778,                 2.1306,                 1.8863,                 2.0069,              0.0006734,              0.0006734,              0.0006734
                     70,                  2.334,                 2.0344,                 2.0351,                0.66082,                0.45161,                0.49988,                0.20953,                 2.3326,                 1.9812,                 2.0854,              0.0006536,              0.0006536,              0.0006536
                     71,                 2.4372,                 2.0596,                 2.1042,                0.56949,                0.40543,                0.49604,                0.20869,                 2.2954,                 1.8564,                 2.0452,              0.0006338,              0.0006338,              0.0006338
                     72,                 2.3444,                 1.9737,                 2.0366,                 0.7418,                0.41935,                0.50811,                0.17339,                 2.4029,                 1.8271,                 2.0438,               0.000614,               0.000614,               0.000614
                     73,                 2.3933,                 2.1306,                 2.1894,                0.53443,                0.42591,                0.47263,                0.16424,                 2.3966,                  1.878,                 2.0572,              0.0005942,              0.0005942,              0.0005942
                     74,                 2.3262,                 1.9937,                 2.0507,                0.58769,                0.45161,                0.38474,                0.13519,                 2.4425,                 2.1057,                 2.1208,              0.0005744,              0.0005744,              0.0005744
                     75,                 2.2618,                 1.8989,                   2.01,                0.63862,                    0.5,                0.51399,                0.21747,                 2.2721,                 1.8633,                 2.0336,              0.0005546,              0.0005546,              0.0005546
                     76,                 2.2246,                 1.9497,                 2.0209,                0.74105,                0.53226,                0.56459,                 0.2336,                 2.2645,                 1.8434,                  2.021,              0.0005348,              0.0005348,              0.0005348
                     77,                 2.1659,                 1.8379,                 1.9826,                0.65995,                0.46774,                0.51019,                0.22073,                 2.2763,                 1.8605,                 2.0086,               0.000515,               0.000515,               0.000515
                     78,                 2.1609,                  1.806,                 1.9567,                0.66043,                0.48387,                0.50613,                0.21938,                 2.2835,                 1.8097,                  1.994,              0.0004952,              0.0004952,              0.0004952
                     79,                 2.2484,                 1.9615,                 2.0001,                 0.6718,                0.46774,                0.50444,                0.22142,                 2.2853,                 1.8233,                 2.0021,              0.0004754,              0.0004754,              0.0004754
                     80,                 2.3271,                 1.9838,                 2.0341,                0.69256,                0.46774,                0.52312,                0.21283,                 2.2559,                 1.8678,                 2.0177,              0.0004556,              0.0004556,              0.0004556
                     81,                 2.2662,                 1.9455,                 2.0876,                0.75924,                0.50872,                0.57414,                0.23031,                 2.2558,                 1.8238,                 2.0074,              0.0004358,              0.0004358,              0.0004358
                     82,                 2.2429,                 1.8979,                 1.9836,                0.77141,                0.58065,                0.58968,                0.22076,                   2.33,                 1.8608,                 2.0297,               0.000416,               0.000416,               0.000416
                     83,                 2.2688,                  1.983,                 2.0456,                0.81415,                0.56527,                0.59991,                0.23288,                 2.3254,                 1.8237,                 2.0334,              0.0003962,              0.0003962,              0.0003962
                     84,                 2.2675,                 1.8332,                   2.01,                0.68461,                0.51613,                0.57885,                0.22471,                 2.3049,                 1.7213,                  2.051,              0.0003764,              0.0003764,              0.0003764
                     85,                 2.2316,                 1.8766,                 2.0191,                0.75939,                0.45825,                0.55444,                0.21065,                  2.263,                 1.7289,                  2.051,              0.0003566,              0.0003566,              0.0003566
                     86,                 2.2761,                 1.9334,                 2.0525,                0.58713,                0.50467,                0.50795,                0.19467,                 2.3104,                  1.869,                 2.0899,              0.0003368,              0.0003368,              0.0003368
                     87,                 2.2715,                 1.9284,                 2.0065,                0.56402,                0.45912,                0.46258,                0.13683,                   2.35,                 2.0353,                 2.1487,               0.000317,               0.000317,               0.000317
                     88,                 2.2475,                 1.9937,                  2.038,                0.50985,                0.33871,                0.33594,                0.10526,                 2.4029,                 2.1682,                 2.1864,              0.0002972,              0.0002972,              0.0002972
                     89,                 2.2492,                 1.9159,                 2.0013,                0.62795,                0.45161,                0.44124,                0.14566,                  2.371,                 2.1114,                   2.12,              0.0002774,              0.0002774,              0.0002774
                     90,                 2.1409,                 1.7892,                 1.9189,                 0.6861,                0.45161,                0.53867,                0.24449,                 2.2357,                 1.7818,                 2.0382,              0.0002576,              0.0002576,              0.0002576
                     91,                  2.451,                 2.2339,                 2.1077,                0.76206,                0.53226,                0.62074,                0.27844,                 2.2054,                 1.7347,                 1.9904,              0.0002378,              0.0002378,              0.0002378
                     92,                 2.2616,                 2.1776,                 2.0163,                0.77827,                0.48387,                0.57346,                0.23107,                 2.1449,                 1.8626,                 1.9508,               0.000218,               0.000218,               0.000218
                     93,                 2.4135,                 2.2029,                 2.0765,                0.60303,                0.46774,                0.48874,                0.19576,                  2.183,                 2.0851,                 2.0089,              0.0001982,              0.0001982,              0.0001982
                     94,                 2.2948,                 2.1578,                 2.0516,                0.63705,                0.50966,                0.52797,                0.20938,                 2.1463,                 1.9188,                 1.9662,              0.0001784,              0.0001784,              0.0001784
                     95,                 2.3981,                 2.1204,                 2.1038,                0.75383,                0.54839,                0.63904,                0.25565,                 2.2036,                 1.6959,                 1.9738,              0.0001586,              0.0001586,              0.0001586
                     96,                 2.2569,                 1.9381,                  1.941,                 0.8493,                0.51613,                0.64873,                0.27301,                 2.2142,                   1.66,                 1.9889,              0.0001388,              0.0001388,              0.0001388
                     97,                 2.2876,                 1.9939,                 1.9756,                0.85803,                0.48387,                0.63736,                0.27211,                  2.226,                 1.6641,                 2.0042,               0.000119,               0.000119,               0.000119
                     98,                 2.1333,                 1.8175,                 1.8779,                0.76125,                0.51613,                0.61705,                0.27601,                 2.2517,                  1.655,                 2.0182,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 2.1945,                 1.9332,                 1.9174,                0.76296,                0.51613,                 0.6188,                 0.2737,                 2.2616,                 1.6656,                 2.0214,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 2.2258,                 1.9733,                  1.952,                0.78626,                0.53401,                0.61907,                0.26624,                 2.2633,                 1.6463,                 2.0308,               5.96e-05,               5.96e-05,               5.96e-05
