                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 2.1296,                 1.6785,                 1.5765,                0.80443,                0.48387,                0.56333,                0.23984,                  2.213,                 2.5912,                 1.5753,              0.0015347,              0.0015347,              0.0015347
                     50,                  2.226,                 1.7762,                 1.6071,                0.73541,                0.44836,                0.52601,                0.22041,                 2.2316,                 1.6799,                 1.5588,              0.0015248,              0.0015248,              0.0015248
                     51,                 2.2109,                 1.8988,                  1.685,                0.69723,                0.48289,                0.53581,                 0.2361,                 2.2012,                  2.007,                 1.5594,              0.0015149,              0.0015149,              0.0015149
                     52,                 2.3396,                 1.9145,                 1.7127,                0.82116,                    0.5,                0.57364,                0.22487,                 2.2772,                 1.8641,                 1.6223,               0.001505,               0.001505,               0.001505
                     53,                 2.1878,                 1.7952,                 1.6468,                0.75742,                0.50368,                0.56802,                0.24555,                 2.1113,                    nan,                   1.53,              0.0014951,              0.0014951,              0.0014951
                     54,                 2.0947,                 1.7181,                 1.5935,                0.64107,                0.41935,                0.52651,                0.23513,                 2.1608,                    nan,                 1.5405,              0.0014852,              0.0014852,              0.0014852
                     55,                  2.086,                 1.5952,                 1.5347,                0.68957,                0.46774,                0.52487,                0.23425,                 2.0997,                 1.6643,                 1.5037,              0.0014753,              0.0014753,              0.0014753
                     56,                 2.2255,                 1.7605,                 1.5989,                0.20027,                0.19388,                0.10066,                0.02735,                 2.7483,                 2.8282,                 1.7947,              0.0014654,              0.0014654,              0.0014654
                     57,                 2.1109,                 1.6966,                 1.5602,                0.26021,                0.14516,                0.10029,                0.02625,                 2.6434,                 2.6252,                 1.7643,              0.0014555,              0.0014555,              0.0014555
                     58,                 2.0547,                 1.7313,                 1.5473,                0.75243,                0.41935,                 0.4613,                0.20899,                 2.3833,                 1.9988,                 1.5842,              0.0014456,              0.0014456,              0.0014456
