                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.6445,                  3.638,                 1.6309,                0.69534,                 0.0694,                0.08491,                0.05571,                 1.6349,                 3.1851,                 1.6718,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                 1.7694,                 3.8546,                 1.7718,                 0.7101,                0.06425,                0.08688,                 0.0567,                 1.6306,                 3.1557,                 1.6643,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                 1.7741,                 3.8479,                 1.7372,                0.69618,                0.06222,                0.08662,                0.05607,                  1.626,                 3.1356,                 1.6589,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                  1.735,                 3.7449,                 1.7439,                0.67045,                0.06656,                0.08839,                0.05717,                 1.6253,                 3.1309,                 1.6597,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                 1.7703,                 3.6853,                 1.7935,                0.67014,                0.06751,                0.09025,                0.05791,                 1.6325,                 3.1211,                  1.664,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                 1.7374,                 3.8048,                 1.7641,                0.67442,                0.06552,                0.09036,                0.05778,                 1.6331,                 3.1145,                  1.664,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                 1.7112,                 3.7398,                 1.7373,                0.67372,                0.06555,                0.09207,                 0.0588,                 1.6337,                 3.1064,                 1.6636,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                 1.6864,                 3.7025,                 1.7206,                0.65868,                0.07299,                0.09541,                0.06063,                 1.6364,                 3.1035,                 1.6637,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                 1.7047,                 3.7032,                 1.7268,                0.65352,                0.07376,                0.09415,                0.05958,                 1.6344,                  3.101,                 1.6641,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                 1.7252,                 3.6542,                 1.7369,                0.65176,                0.07122,                0.09317,                0.05884,                 1.6381,                 3.0977,                 1.6664,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                 1.6882,                 3.7944,                 1.7362,                0.64835,                0.07972,                0.09162,                0.05769,                 1.6419,                 3.1006,                 1.6674,             3.5462e-06,             3.5462e-06,             3.5462e-06
