                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 2.0897,                 1.9963,                 1.9175,                 0.0819,                0.14516,                0.05395,                  0.015,                 2.6314,                 2.9293,                 2.0997,              0.0014258,              0.0014258,              0.0014258
                     61,                 2.2281,                 2.1613,                 1.9007,                0.35946,                0.30645,                0.27327,                0.09498,                 2.4033,                 2.2703,                 1.9994,              0.0014159,              0.0014159,              0.0014159
                     62,                 2.1874,                 2.0275,                 1.9405,                0.06002,                0.14516,                0.04525,                0.01408,                 3.6141,                 4.5602,                  2.546,               0.001406,               0.001406,               0.001406
                     63,                 2.0091,                 1.8805,                 1.7862,                 0.0157,                0.17742,                0.01647,                0.00477,                 3.7898,                 4.8009,                 2.7142,              0.0013961,              0.0013961,              0.0013961
                     64,                 2.1788,                 1.9836,                  1.894,                0.22802,                0.03226,                0.03311,                0.00539,                 3.4667,                 4.0038,                 2.3975,              0.0013862,              0.0013862,              0.0013862
                     65,                 2.1356,                 1.9519,                 1.8437,                0.05813,                0.06452,                0.02662,                0.00535,                 3.6539,                 4.6724,                 2.5323,              0.0013763,              0.0013763,              0.0013763
                     66,                 2.1329,                 1.8667,                 1.8681,                0.60692,                0.40323,                0.39844,                0.14654,                 2.3319,                 2.3827,                  1.886,              0.0013664,              0.0013664,              0.0013664
                     67,                 2.2075,                 2.0918,                 1.8974,                0.70313,                0.43548,                0.45166,                0.17757,                 2.3317,                 2.1497,                 1.9577,              0.0013565,              0.0013565,              0.0013565
                     68,                 2.1136,                 1.9691,                 1.8074,                0.38296,                0.18027,                0.15975,                0.03832,                 2.5139,                 2.9483,                 2.0415,              0.0013466,              0.0013466,              0.0013466
                     69,                  1.978,                 1.7956,                 1.8154,                0.69927,                0.30645,                0.37067,                0.13652,                 2.2389,                 2.2139,                 1.9905,              0.0013367,              0.0013367,              0.0013367
                     70,                 2.0459,                 1.9646,                 1.7907,                0.02692,                0.19355,                0.02528,                 0.0061,                 3.6091,                 4.2549,                 2.7138,              0.0013268,              0.0013268,              0.0013268
                     71,                 2.1067,                 1.9858,                 1.8509,                0.03909,                0.27419,                0.04516,                0.01375,                 2.5658,                 3.1156,                 2.1533,              0.0013169,              0.0013169,              0.0013169
                     72,                 2.1086,                 1.9199,                 1.8247,                0.02241,                0.20968,                0.01879,                0.00532,                 3.0159,                 3.9891,                 2.4871,               0.001307,               0.001307,               0.001307
                     73,                 2.2249,                 2.1242,                 1.9821,                0.33702,                0.03226,                0.04116,                0.00614,                 3.3161,                 4.3067,                  2.527,              0.0012971,              0.0012971,              0.0012971
                     74,                 1.9798,                 1.9221,                 1.8256,                0.05147,                0.01613,                0.02879,                0.00485,                 3.6153,                 3.9624,                  2.806,              0.0012872,              0.0012872,              0.0012872
                     75,                 2.0108,                 1.8503,                 1.8077,                0.59901,                0.40323,                0.43396,                0.17959,                 2.3286,                 1.8589,                 2.0482,              0.0012773,              0.0012773,              0.0012773
                     76,                 1.9847,                 1.9453,                 1.8353,                0.65517,                0.42913,                0.46431,                0.14496,                 2.4449,                 1.9479,                 2.0973,              0.0012674,              0.0012674,              0.0012674
                     77,                 1.9827,                 1.8447,                  1.831,                0.71093,                    0.5,                0.58708,                0.22036,                 2.1375,                 1.7875,                 1.9413,              0.0012575,              0.0012575,              0.0012575
                     78,                   1.96,                 1.7683,                 1.7347,                0.77459,                0.49885,                0.56069,                0.24778,                 2.0428,                 2.2572,                 1.8122,              0.0012476,              0.0012476,              0.0012476
                     79,                 2.0469,                 1.9293,                 1.7819,                0.70247,                0.45161,                0.56727,                0.24244,                 2.0859,                 1.9229,                 1.8534,              0.0012377,              0.0012377,              0.0012377
                     80,                 2.0917,                 1.9278,                 1.8018,                0.83924,                0.50528,                0.61675,                0.26721,                 2.0609,                 1.8018,                  1.863,              0.0012278,              0.0012278,              0.0012278
                     81,                 1.9981,                 1.9407,                 1.8454,                0.84476,                0.53226,                0.64111,                0.25498,                 2.0485,                 1.7342,                 1.8669,              0.0012179,              0.0012179,              0.0012179
                     82,                 2.0016,                 1.8447,                 1.7644,                0.80775,                    0.5,                0.62079,                0.22704,                 2.1189,                 1.8901,                 1.8665,               0.001208,               0.001208,               0.001208
                     83,                 2.0217,                 1.8624,                  1.794,                0.74943,                0.54839,                0.62372,                0.24768,                 2.0712,                 1.9145,                 1.8987,              0.0011981,              0.0011981,              0.0011981
                     84,                 1.9846,                 1.7443,                 1.7722,                0.84373,                0.60966,                0.64157,                0.25152,                 2.1728,                 1.7821,                 1.9276,              0.0011882,              0.0011882,              0.0011882
                     85,                 2.0168,                 1.8234,                 1.8111,                0.81687,                0.57565,                0.65304,                0.27767,                 2.0832,                 1.6769,                 1.8925,              0.0011783,              0.0011783,              0.0011783
                     86,                 1.9943,                 1.8409,                 1.7957,                  0.924,                0.58065,                0.68531,                0.27848,                  2.076,                 1.7394,                 1.8931,              0.0011684,              0.0011684,              0.0011684
                     87,                  2.008,                 1.8737,                 1.7833,                0.94538,                0.54839,                0.64528,                0.27319,                 1.9896,                 1.7777,                 1.8561,              0.0011585,              0.0011585,              0.0011585
                     88,                 2.0097,                 1.9391,                 1.8163,                0.59078,                0.40323,                0.49108,                0.17458,                 2.2733,                 2.0303,                 1.9934,              0.0011486,              0.0011486,              0.0011486
                     89,                 1.9585,                 1.8594,                  1.754,                0.77768,                0.51613,                0.57272,                0.23491,                 2.2169,                 1.8434,                 1.9369,              0.0011387,              0.0011387,              0.0011387
                     90,                 1.9437,                 1.6386,                 1.7392,                0.73808,                0.56452,                 0.5855,                0.23944,                 2.1377,                 1.7335,                 1.9504,              0.0011288,              0.0011288,              0.0011288
                     91,                 1.9723,                 1.7857,                 1.7733,                 0.7942,                0.56028,                0.60837,                0.26085,                 2.1065,                 1.6419,                 1.9171,              0.0011189,              0.0011189,              0.0011189
                     92,                 2.0197,                 1.9058,                  1.793,                0.79585,                0.44024,                0.54783,                0.23139,                 2.2817,                 1.9595,                 1.9573,               0.001109,               0.001109,               0.001109
                     93,                 1.9658,                 1.8288,                 1.7879,                0.08698,                0.06452,                0.02887,                0.00757,                 3.8288,                 4.0979,                 2.8133,              0.0010991,              0.0010991,              0.0010991
                     94,                 1.8856,                  1.731,                 1.7331,                0.05183,                0.06452,                0.02889,                0.00597,                 3.4378,                 3.7185,                 2.5416,              0.0010892,              0.0010892,              0.0010892
                     95,                 1.9876,                 1.7984,                 1.7414,                0.53795,                0.35484,                0.41983,                0.15871,                 2.2235,                 1.9908,                 1.8964,              0.0010793,              0.0010793,              0.0010793
                     96,                 1.9882,                 1.8393,                 1.7566,                0.43469,                0.27419,                0.27588,                0.09869,                 2.3592,                 2.3721,                 1.9586,              0.0010694,              0.0010694,              0.0010694
                     97,                 1.9478,                 1.7996,                 1.7226,                0.15136,                 0.1129,                0.08359,                0.02721,                 2.5645,                 3.1697,                 2.0868,              0.0010595,              0.0010595,              0.0010595
                     98,                  2.026,                 1.9922,                 1.7813,                0.29683,                0.16129,                0.12822,                0.04992,                 2.7494,                 2.5742,                 2.1021,              0.0010496,              0.0010496,              0.0010496
                     99,                 1.8396,                 1.7752,                 1.7013,                0.19554,                0.22581,                0.12279,                0.05137,                 2.6686,                 2.5582,                 2.1069,              0.0010397,              0.0010397,              0.0010397
                    100,                 1.8009,                   1.71,                 1.6568,                0.11811,                 0.1129,                0.05157,                0.01072,                 3.5503,                 3.9549,                 2.9767,              0.0010298,              0.0010298,              0.0010298
                    101,                 2.0157,                  1.988,                 1.8181,                0.20508,                0.09677,                0.09202,                0.02432,                 2.9649,                 2.9795,                 2.4131,              0.0010199,              0.0010199,              0.0010199
                    102,                 1.9323,                 1.8573,                 1.7368,                0.67185,                0.51613,                0.55949,                0.25033,                 2.0465,                 1.9954,                 1.8619,                0.00101,                0.00101,                0.00101
